  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-13463,   2020/11/07 08:47:12,           1-01,       1,       -16.751,       -92.665,         20000,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604735537.56,         0.242,         0.793,       127.415,         0.001,         0.003,         3.021,        83.104,        17.831,         2.228,        88.369,         0.733,         1.457,        0.0000,        0.0000,    0,        40.125,         1,       1,       1,Picarro pre rinse,       0
     2,   P-13463,   2020/11/07 08:56:21,           1-01,       2,       -16.632,       -92.056,         19489,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604736086.04,         0.241,         0.783,       127.279,        -0.000,         0.001,         3.019,        80.703,        17.465,         2.141,        85.146,         0.733,         1.274,       -0.0000,       -0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
     3,   P-13463,   2020/11/07 09:05:30,           1-01,       3,       -16.539,       -91.747,         19346,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1604736634.87,         0.253,         0.917,       138.120,         0.001,         0.008,         3.294,        80.607,        15.972,         2.146,        86.361,         0.733,         1.260,       -0.0000,       -0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
     4,   P-13463,   2020/11/07 09:14:39,           1-01,       4,       -16.570,       -91.687,         18798,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604737184.15,         0.247,         0.954,       133.892,         0.002,         0.011,         3.192,        78.139,        15.132,         2.107,        83.976,         0.733,         1.119,       -0.0000,       -0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
     5,   P-13463,   2020/11/07 09:23:46,           1-01,       5,       -16.482,       -91.031,         19364,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604737731.28,         0.253,         0.779,       133.209,        -0.000,         0.002,         3.175,        81.020,        14.949,         2.170,        87.105,         0.733,         1.019,        0.0000,        0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
     6,   P-13463,   2020/11/07 09:32:54,           1-01,       6,       -16.599,       -91.270,         19037,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604738279.37,         0.263,         0.823,       133.914,        -0.001,        -0.000,         3.177,        79.508,        14.763,         2.138,        85.465,         0.733,         1.071,       -0.0000,       -0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
     7,   P-13463,   2020/11/07 09:42:02,           1-01,       7,       -16.527,       -91.011,         19680,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604738828.04,         0.248,         0.842,       136.511,        -0.000,         0.001,         3.222,        82.671,        15.112,         2.185,        87.978,         0.733,         0.967,       -0.0000,       -0.0000,    0,        40.000,         1,       1,       1,Picarro pre rinse,       0
     8,   P-13463,   2020/11/07 09:51:11,           1-01,       8,       -16.619,       -91.423,         19014,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604739376.43,         0.265,         0.748,       131.924,         0.000,        -0.001,         3.130,        79.490,        14.444,         2.169,        86.173,         0.733,         1.058,       -0.0000,       -0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
     9,   P-13463,   2020/11/07 10:00:19,           1-01,       9,       -16.645,       -91.933,         19203,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604739924.79,         0.275,         0.911,       135.736,         0.001,         0.009,         3.220,        80.162,        14.466,         2.204,        88.330,         0.733,         1.317,       -0.0000,       -0.0000,    0,        40.250,         1,       1,       1,Picarro pre rinse,       0
    10,   P-13463,   2020/11/07 10:09:28,           1-01,      10,       -16.613,       -91.573,         18859,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1604740473.01,         0.268,         0.802,       135.100,         0.002,         0.006,         3.222,        78.833,        13.820,         2.131,        86.237,         0.733,         1.134,       -0.0000,       -0.0000,    0,        39.938,         1,       1,       1,Picarro pre rinse,       0
