,Identifier 1,d18O counts,d18O vsmow,d18O stdev. vsmow,d2H counts,d2H vsmow,d2H stdev. vsmow,RUN_ID,NickName
0,EE-01,4,-10.982751607034134,0.014283644939544935,4,-76.68904785072904,0.18811679154749114,20191207,2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
1,EE-02,3,-12.534154106653082,0.04200793027562986,4,-87.20989392696511,0.671812088140275,20191207,2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
2,EE-03,4,-11.278063414281199,0.0824657148967048,4,-78.41659866988707,0.294583109015752,20191207,2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
3,EE-04,4,-13.261906005809596,0.043227556568239504,4,-95.91534114983239,0.2586748686876459,20191207,2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
4,EE-05,3,-12.267492386248662,0.05131597153148308,3,-85.62504618722919,0.3513979533107133,20191207,2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
5,EE-06,3,-10.84293898402099,0.25920476975159046,3,-75.20740441365298,1.3385536300408423,20191207,2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
6,EE-07,3,-12.192504632941725,0.09649532669450044,4,-87.07539001837054,0.6594535376652163,20191207,2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
7,EE-08,4,-11.22495221562315,0.043212970597574035,4,-79.33098747886183,0.24414747401178152,20191207,2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
8,EE-09,4,-11.606552456889473,0.08402448742819542,4,-80.1977994949458,0.37322448926767976,20191208,2019 12 08 TR Eisgruben Run02
9,EE-10,4,-11.881320148209886,0.06275123531645252,4,-84.72144594699614,0.5227290675552098,20191208,2019 12 08 TR Eisgruben Run02
10,EE-11,4,-12.314515208374612,0.0184569992975751,4,-86.63164559445754,0.18824046200958888,20191208,2019 12 08 TR Eisgruben Run02
11,EE-12,4,-11.6327730932529,0.02595601627647617,4,-81.64128016503739,0.1737873566177194,20191208,2019 12 08 TR Eisgruben Run02
12,EE-13,4,-11.718402188819496,0.0622204093339528,4,-81.69695785835306,0.38459584091583104,20191208,2019 12 08 TR Eisgruben Run02
13,EE-14,3,-12.047506821831137,0.08824068996601092,4,-84.9068161771663,0.6339846789801001,20191208,2019 12 08 TR Eisgruben Run02
14,EE-15,4,-11.840292133779025,0.05110623456962959,4,-82.50321987156298,0.3150682797822147,20191208,2019 12 08 TR Eisgruben Run02
15,EE-16,3,-11.532201982079437,0.17647981172654226,3,-79.82569124108791,0.7257400017028295,20191208,2019 12 08 TR Eisgruben Run02
16,EE-17,3,-11.79746578296524,0.04586873570003307,3,-84.0308859862646,0.4579415938644769,20191208,2019 12 08 TR Eisgruben Run02
17,EE-18,4,-12.896711334501665,0.027858341623161514,4,-90.30660763639848,0.31810386730655954,20191208,2019 12 08 TR Eisgruben Run02
18,EE-19,4,-10.598675101408944,0.09416280788634017,4,-72.37153048830707,0.6821795305216514,20191208,2019 12 08 TR Eisgruben Run02
19,EE-20,4,-13.744313030843216,0.009464399209787063,4,-97.4938925945299,0.1503766202538162,20191208,2019 12 08 TR Eisgruben Run02
20,EE-21,4,-13.890821403308937,0.054553325303998854,4,-100.04651115964812,0.4118594817021203,20191208,2019 12 08 TR Eisgruben Run02
21,EE-22,3,-11.065781685854985,0.05092983661011597,3,-79.91067370793644,0.2278002135432371,20191208,2019 12 08 TR Eisgruben Run02
22,EE-23,4,-11.434502196480466,0.0801964628835254,4,-80.60503563769096,0.17533493544605272,20191208,2019 12 08 TR Eisgruben Run02
23,EE-24,4,-12.902852122107962,0.09601750669728853,4,-92.98648937551843,0.5127974165184749,20191208,2019 12 08 TR Eisgruben Run02
24,EE-25,4,-11.122524087326356,0.028451481596522273,4,-77.34177755546105,0.1637327978043106,20191208,2019 12 08 TR Eisgruben Run02
25,EE-26,4,-11.616488392100306,0.07289257115860392,4,-82.47868870091445,0.646912721374075,20191208,2019 12 08 TR Eisgruben Run02
26,EE-27,3,-13.182192768980741,0.08926957509395117,4,-93.50073016264022,0.7714340528569705,20191208,2019 12 08 TR Eisgruben Run02
27,EE-28,4,-13.571329106194561,0.06053150789241466,4,-96.12473280837621,0.3203147567605994,20191209,2019 12 09 TR Eisgruben Run 03
28,EE-29,4,-12.91038052931924,0.019222611469986165,4,-92.62148390360716,0.06999868932860384,20191209,2019 12 09 TR Eisgruben Run 03
29,EE-30,4,-12.28458921085193,0.039299182879517267,4,-87.04256344969937,0.2867721487572782,20191209,2019 12 09 TR Eisgruben Run 03
