;Identifier 1;d18O counts;d18O vsmow;d18O stdev. vsmow;d2H counts;d2H vsmow;d2H stdev. vsmow;RUN_ID;NickName
0;EE-01;4;-10.982.751.607.034.100;0.014283644939544935;4;-7.668.904.785.072.900;0.18811679154749114;20191207;2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
1;EE-02;3;-12.534.154.106.653.000;0.04200793027562986;4;-8.720.989.392.696.510;0.671812088140275;20191207;2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
2;EE-03;4;-11.278.063.414.281.100;0.0824657148967048;4;-7.841.659.866.988.700;0.294583109015752;20191207;2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
3;EE-04;4;-13.261.906.005.809.500;0.043227556568239504;4;-9.591.534.114.983.230;0.2586748686876459;20191207;2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
4;EE-05;3;-12.267.492.386.248.600;0.05131597153148308;3;-8.562.504.618.722.910;0.3513979533107133;20191207;2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
5;EE-06;3;-1.084.293.898.402.090;0.25920476975159046;3;-7.520.740.441.365.290;13.385.536.300.408.400;20191207;2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
6;EE-07;3;-12.192.504.632.941.700;0.09649532669450044;4;-8.707.539.001.837.050;0.6594535376652163;20191207;2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
7;EE-08;4;-1.122.495.221.562.310;0.043212970597574035;4;-7.933.098.747.886.180;0.24414747401178152;20191207;2019 12 07 TR Guffert Run06 Rerun Eisgruben Run01
8;EE-09;4;-11.606.552.456.889.400;0.08402448742819542;4;-801.977.994.949.458;0.37322448926767976;20191208;2019 12 08 TR Eisgruben Run02
9;EE-10;4;-11.881.320.148.209.800;0.06275123531645252;4;-8.472.144.594.699.610;0.5227290675552098;20191208;2019 12 08 TR Eisgruben Run02
10;EE-11;4;-12.314.515.208.374.600;0.0184569992975751;4;-8.663.164.559.445.750;0.18824046200958888;20191208;2019 12 08 TR Eisgruben Run02
11;EE-12;4;-116.327.730.932.529;0.02595601627647617;4;-8.164.128.016.503.730;0.1737873566177194;20191208;2019 12 08 TR Eisgruben Run02
12;EE-13;4;-11.718.402.188.819.400;0.0622204093339528;4;-8.169.695.785.835.300;0.38459584091583104;20191208;2019 12 08 TR Eisgruben Run02
13;EE-14;3;-12.047.506.821.831.100;0.08824068996601092;4;-849.068.161.771.663;0.6339846789801001;20191208;2019 12 08 TR Eisgruben Run02
14;EE-15;4;-11.840.292.133.779.000;0.05110623456962959;4;-8.250.321.987.156.290;0.3150682797822147;20191208;2019 12 08 TR Eisgruben Run02
15;EE-16;3;-11.532.201.982.079.400;0.17647981172654226;3;-7.982.569.124.108.790;0.7257400017028295;20191208;2019 12 08 TR Eisgruben Run02
94;EE-16-WH;3;-11.342.353.739.637.100;0.08049168622440182;4;-7.854.453.962.650.720;0.5601906693248314;20191212;2019 12 12 TR Eisgruben Run05 FullRerun
16;EE-17;3;-1.179.746.578.296.520;0.04586873570003307;3;-840.308.859.862.646;0.4579415938644769;20191208;2019 12 08 TR Eisgruben Run02
17;EE-18;4;-12.896.711.334.501.600;0.027858341623161514;4;-9.030.660.763.639.840;0.31810386730655954;20191208;2019 12 08 TR Eisgruben Run02
18;EE-19;4;-10.598.675.101.408.900;0.09416280788634017;4;-7.237.153.048.830.700;0.6821795305216514;20191208;2019 12 08 TR Eisgruben Run02
