  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-10229,   2019/10/05 12:47:36,           1-01,       1,       -17.366,       -94.222,         23638,      -1,    0,                                     TAP,                            Conditioning,                 H2O, 1570272762.22,         0.894,         2.061,       412.911,         0.020,         0.044,         9.637,       101.245,        22.614,         2.305,        97.048,         0.722,         0.421,        0.0000,        0.0000,    0,        41.750,         1,       1,       1,Picarro pre rinse,       0
     2,   P-10229,   2019/10/05 12:56:44,           1-01,       2,       -16.182,       -91.327,         19536,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1570273309.94,         0.250,         0.985,       138.956,         0.002,         0.012,         3.279,        81.740,        19.113,         1.877,        79.784,         0.723,         0.306,        0.0000,        0.0000,    0,        41.312,         1,       1,       1,Picarro pre rinse,       0
     3,   P-10229,   2019/10/05 13:05:51,           1-01,       3,       -16.490,       -91.903,         20130,      -1,    1,                                     TAP,                            Conditioning,                 H2O, 1570273857.07,         0.262,         1.004,       139.834,         0.002,         0.011,         3.317,        84.492,        20.322,         1.897,        80.809,         0.722,         0.305,       -0.0000,       -0.0000,    0,        41.188,         1,       1,       1,Picarro pre rinse,       0
     4,   P-10229,   2019/10/05 13:15:01,           1-01,       4,       -16.358,       -91.167,         21294,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1570274407.18,         0.279,         0.892,       140.507,        -0.001,         0.001,         3.298,        90.276,        20.889,         2.057,        86.490,         0.722,         0.384,       -0.0000,       -0.0000,    0,        41.125,         1,       1,       1,Picarro pre rinse,       0
     5,   P-10229,   2019/10/05 13:24:09,           1-01,       5,       -16.351,       -91.446,         22505,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1570274954.95,         0.265,         0.923,       146.715,        -0.001,         0.003,         3.428,        96.524,        22.133,         2.186,        91.313,         0.722,         0.306,       -0.0000,       -0.0000,    0,        41.000,         1,       1,       1,Picarro pre rinse,       0
     6,   P-10229,   2019/10/05 13:33:17,           1-01,       6,       -16.556,       -92.339,         20131,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1570275502.71,         0.267,         1.092,       143.677,         0.001,         0.013,         3.394,        84.639,        19.740,         1.934,        82.579,         0.722,         0.508,        0.0000,        0.0000,    0,        41.125,         1,       1,       1,Picarro pre rinse,       0
     7,   P-10229,   2019/10/05 13:42:24,           1-01,       7,       -16.399,       -91.416,         20666,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1570276050.25,         0.262,         0.934,       142.799,        -0.001,         0.002,         3.369,        87.306,        20.050,         1.996,        83.846,         0.722,         0.236,       -0.0000,       -0.0000,    0,        41.062,         1,       1,       1,Picarro pre rinse,       0
     8,   P-10229,   2019/10/05 13:51:31,           1-01,       8,       -16.458,       -91.672,         20206,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1570276597.07,         0.261,         0.882,       137.753,        -0.000,         0.000,         3.251,        84.815,        19.823,         1.973,        82.659,         0.722,         0.401,       -0.0000,       -0.0000,    0,        41.125,         1,       1,       1,Picarro pre rinse,       0
     9,   P-10229,   2019/10/05 14:00:39,           1-01,       9,       -16.472,       -91.763,         20265,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1570277145.23,         0.256,         0.871,       140.876,        -0.001,         0.002,         3.325,        85.271,        19.601,         1.954,        82.596,         0.722,         0.351,        0.0000,        0.0000,    0,        41.188,         1,       1,       1,Picarro pre rinse,       0
    10,   P-10229,   2019/10/05 14:09:47,           1-01,      10,       -16.504,       -91.647,         19682,       0,    1,                                     TAP,                            Conditioning,                 H2O, 1570277693.07,         0.270,         0.864,       139.412,        -0.002,         0.001,         3.306,        82.091,        19.075,         1.937,        82.315,         0.723,         0.601,        0.0000,        0.0000,    0,        41.062,         1,       1,       1,Picarro pre rinse,       0
    11,   P-10230,   2019/10/05 14:18:56,           1-02,       1,        -4.027,       -13.615,         19118,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1570278241.33,         0.259,         0.879,       139.041,         0.001,         0.000,         3.296,        79.679,        18.451,         1.850,        78.949,         0.723,         0.359,        0.0000,        0.0000,    0,        41.125,         1,       2,       1,Picarro pre rinse,       0
    12,   P-10230,   2019/10/05 14:28:04,           1-02,       2,        -2.643,         1.025,         19137,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1570278789.64,         0.236,         0.948,       138.983,         0.001,         0.004,         3.299,        79.859,        18.407,         1.823,        78.650,         0.722,         0.215,        0.0000,        0.0000,    0,        41.062,         1,       2,       1,Picarro pre rinse,       0
    13,   P-10230,   2019/10/05 14:37:12,           1-02,       3,        -2.464,         5.185,         19804,      -1,    1,                                   HAUS1,                                Standard,                 H2O, 1570279338.18,         0.261,         0.912,       141.132,         0.001,         0.003,         3.332,        82.888,        19.035,         1.957,        82.113,         0.722,         0.438,       -0.0000,       -0.0000,    0,        41.125,         1,       2,       1,Picarro pre rinse,       0
