,Identifier 1,d18O counts,d18O vsmow,d18O stdev. vsmow,d2H counts,d2H vsmow,d2H stdev. vsmow,RUN_ID,NickName
0,GE-01,3,-11.795432234596781,0.03755927725903414,3,-83.26509877847616,0.43017697210281103,20191023, 2019 10 23 TR Guffert Run01 
1,GE-02,4,-11.79504516972447,0.03331757712427944,4,-83.04278239174788,0.187609875967393,20191023, 2019 10 23 TR Guffert Run01 
2,GE-03,4,-11.208908991173875,0.0370909759787575,4,-79.39237940741562,0.10829347315116387,20191023, 2019 10 23 TR Guffert Run01 
3,GE-04,4,-10.819191527688705,0.04887001957329976,4,-76.4001700947599,0.1608994698514841,20191023, 2019 10 23 TR Guffert Run01 
4,GE-05,4,-11.37017563006172,0.03171672401231606,4,-80.3492830454126,0.12529050455031404,20191023, 2019 10 23 TR Guffert Run01 
5,GE-06,4,-10.956006871972484,0.03441713701871386,4,-77.00173341907012,0.07679072486392602,20191023, 2019 10 23 TR Guffert Run01 
6,GE-07,4,-10.647851790186177,0.04291803504053521,4,-74.60391287951816,0.08154786633956189,20191023, 2019 10 23 TR Guffert Run01 
7,GE-08,4,-12.33865983928121,0.032422013867424666,4,-87.20069441387889,0.2549892139730638,20191023, 2019 10 23 TR Guffert Run01 
8,GE-09,4,-11.342708502536768,0.03808707981432625,4,-79.46702799780925,0.211780299892833,20191023, 2019 10 23 TR Guffert Run01 
9,GE-10,4,-10.41222328949597,0.03225761695276255,4,-73.52821634142728,0.13253710628689205,20191023, 2019 10 23 TR Guffert Run01 
10,GE-11,4,-11.462988566919845,0.04193067901758883,4,-80.78384737252713,0.1191503625442855,20191023, 2019 10 23 TR Guffert Run01 
11,GE-12,4,-11.853806449335117,0.005979295377906171,4,-83.58022074536635,0.07148860213051673,20191023, 2019 10 23 TR Guffert Run01 
12,GE-13,4,-10.216232946668487,0.013241278463842446,4,-71.25977388899179,0.1956329284454321,20191023, 2019 10 23 TR Guffert Run01 
13,GE-14,4,-12.104585730034886,0.02641557154486307,4,-81.80130955132171,0.05655085708035502,20191023, 2019 10 23 TR Guffert Run01 
14,GE-15,4,-11.729626355384745,0.03565325719239617,4,-82.04377378318883,0.2347337435500617,20191023, 2019 10 23 TR Guffert Run01 
15,GE-16,4,-13.112531262520397,0.01705046662339071,4,-92.12807115963247,0.08099875195273032,20191023, 2019 10 23 TR Guffert Run01 
16,GE-17,4,-12.666407665893997,0.02225813703818996,4,-87.74086938839135,0.11645583185609057,20191023, 2019 10 23 TR Guffert Run01 
17,GE-18,4,-13.499831141474505,0.0410942220492318,4,-93.42977301712516,0.20558340026907618,20191023, 2019 10 23 TR Guffert Run01 
18,GE-19,4,-11.575299957249126,0.017056344038542125,4,-80.43805173315027,0.1368174152225586,20191023, 2019 10 23 TR Guffert Run01 
19,GE-20,4,-10.921813142544403,0.0997841069493691,4,-77.14405478825715,0.6016652785620492,20191104, 2019 11 04 TR Guffert Fall19 Run2 
20,GE-21,4,-11.393381191136694,0.06849600725885947,4,-79.7098120099686,0.3324914406175197,20191104, 2019 11 04 TR Guffert Fall19 Run2 
35,GE-22,4,-11.224241893043036,0.07457297596023517,4,-78.85350347786051,0.4079864595085182,20191105, 2019 11 05 YDTR rerun3 
36,GE-23,4,-11.936763020550703,0.03312698479426432,4,-83.7299570866847,0.16964935887923704,20191105, 2019 11 05 YDTR rerun3 
21,GE-24,4,-11.26418003713934,0.00953545728365261,4,-78.65525220537819,0.1237537482046324,20191104, 2019 11 04 TR Guffert Fall19 Run2 
