,Identifier 1,Identifier 2,d18O vsmow,d18O stdev. vsmow,d18O counts,d2H vsmow,d2H stdev. vsmow,d2H counts,,,,,,,
0,GE-20,TR,-10.92,0.10,4,-77.15,0.60,4,,,-10.85,0.07,,-77.14,0.01
1,GE-21,TR,-11.40,0.07,4,-79.71,0.33,4,,,-11.37,0.02,,-79.71,0.00
2,GE-22,TR,-11.48,0.13,3,-80.94,0.44,3,,,-11.39,0.10,,-80.94,0.00
3,GE-23,TR,-12.09,,1,-84.42,,1,,,-12.06,0.02,,-84.43,-0.01
4,GE-24,TR,-11.27,0.01,4,-78.66,0.12,4,,,-11.24,0.02,,-78.66,0.00
5,GE-25,TR,-10.87,0.01,4,-75.43,0.09,4,,,-10.84,0.03,,-75.43,0.00
6,GE-26,TR,-11.02,0.08,4,-77.70,0.58,4,,,-10.99,0.03,,-77.70,0.00
7,GE-27,TR,-12.04,0.14,4,-85.53,0.92,4,,,-11.95,0.09,,-85.08,0.45
8,GE-28,TR,-11.82,0.15,4,-82.81,0.99,4,,,-11.72,0.10,,-82.35,0.46
9,GE-29,TR,-11.30,0.04,4,-78.75,0.08,4,,,-11.27,0.03,,-78.89,-0.14
10,GE-30,TR,-10.54,0.09,4,-73.52,0.57,4,,,-10.51,0.03,,-73.51,0.00
11,GE-31,TR,-10.70,0.11,4,-74.78,0.52,4,,,-10.62,0.08,,-74.77,0.00
12,GE-32,TR,-10.28,,1,-70.09,,1,,,-10.25,0.03,,-70.08,0.00
13,GE-33,TR,-10.93,0.01,4,-77.30,0.43,4,,,-10.89,0.03,,-77.29,0.01
14,GE-34,TR,-11.50,0.07,4,-80.23,0.54,4,,,-11.46,0.03,,-80.22,0.01
15,GE-35,TR,-13.00,0.09,3,-90.52,0.50,3,,,-12.97,0.03,,-90.01,0.51
16,GE-36,TR,-11.33,0.12,4,-78.05,0.92,4,,,-11.19,0.14,,-77.70,0.35
17,GE-37,TR,-11.24,0.13,4,-79.36,0.76,4,,,-11.32,-0.07,,-79.35,0.01
18,GE-38,TR,-12.12,0.12,4,-83.86,1.29,4,,,-12.18,-0.07,,-84.95,-1.10
